antecedent,consequent,support,confidence,lift
Organic Lemon,Organic Baby Spinach,0.00538,0.1625377643504532,1.7380000465189605
Organic Lemon,Bag of Organic Bananas,0.007405,0.22371601208459216,1.6648633457458022
Organic Lemon,Organic Hass Avocado,0.007865,0.23761329305135956,3.0502348273602
Organic Lemon,Organic Strawberries,0.005675,0.17145015105740183,1.6518151265224899
Organic Cilantro,Limes,0.006365,0.24970576696743824,4.535157409506688
Yellow Onions,Banana,0.0086,0.2766607688595786,1.492438402479183
Cucumber Kirby,Organic Avocado,0.00662,0.16512846096283362,2.271524327159139
Cucumber Kirby,Banana,0.012695,0.31666250935395357,1.7082266182276657
Cucumber Kirby,Organic Baby Spinach,0.006435,0.1605138438513345,1.7163584671870666
Organic Whole Milk,Bag of Organic Bananas,0.008775,0.1772011308562197,1.3187060900927978
Organic Whole Milk,Organic Strawberries,0.00918,0.18537964458804523,1.7860170970474998
Michigan Organic Kale,Organic Baby Spinach,0.006075,0.21793721973094168,2.330380878217939
Limes,Organic Avocado,0.009015,0.16373047584453326,2.2522934981021154
Large Lemon,Limes,0.01062,0.17853240312683868,3.2425064134914403
Limes,Large Lemon,0.01062,0.1928804940065383,3.24250641349144
Organic Small Bunch Celery,Bag of Organic Bananas,0.00503,0.2047212047212047,1.5235066397857093
Red Onion,Banana,0.005275,0.26695344129554655,1.4400725086745598
Organic Raspberries,Organic Strawberries,0.0116,0.2522836015658982,2.430594937770588
Organic Raspberries,Bag of Organic Bananas,0.012445,0.2706611570247934,2.014222563905439
Organic Raspberries,Organic Hass Avocado,0.00817,0.17768595041322313,2.2809492992711573
Apple Honeycrisp Organic,Bag of Organic Bananas,0.006595,0.24943267776096822,1.856243183337438
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.00702,0.28051948051948056,2.0875868317728785
Organic Large Extra Fancy Fuji Apple,Organic Strawberries,0.005175,0.2067932067932068,1.9923233950884611
Small Hass Avocado,Banana,0.00503,0.28330047873838354,1.528256122661543
Organic Cucumber,Organic Hass Avocado,0.00629,0.21434656670642357,2.7515605482210987
Organic Cucumber,Bag of Organic Bananas,0.00731,0.24910546941557335,1.8538081444879877
Organic Cucumber,Organic Strawberries,0.00607,0.20684954847503834,1.9928662120048013
Organic Cucumber,Organic Baby Spinach,0.005865,0.1998636905776112,2.137122439880359
Organic Grape Tomatoes,Organic Baby Spinach,0.00613,0.18987145733312683,2.0302764898751797
Organic Grape Tomatoes,Bag of Organic Bananas,0.005985,0.1853802075267152,1.3795736374081131
Organic Grape Tomatoes,Organic Strawberries,0.00602,0.1864643023075732,1.7964670967539207
Large Lemon,Organic Avocado,0.009665,0.16247793561402032,2.2350634240872185
Large Lemon,Banana,0.01534,0.2578801378498781,1.3911268393789784
"Clementines, Bag",Banana,0.005055,0.3279273434965942,1.7689944355851337
Organic Baby Arugula,Organic Baby Spinach,0.005265,0.17841409691629953,1.9077640816541865
Bunched Cilantro,Limes,0.005205,0.26747173689619735,4.857823045699189
Boneless Skinless Chicken Breasts,Banana,0.006125,0.2802562342713338,1.5118340351791437
Organic Zucchini,Bag of Organic Bananas,0.007095,0.18988358089120833,1.4130871136089922
Organic Zucchini,Organic Hass Avocado,0.00583,0.15602836879432624,2.00293156347017
Organic Zucchini,Organic Baby Spinach,0.006955,0.1861367589990633,1.9903417343783498
Original Hummus,Organic Strawberries,0.005095,0.18245299910474486,1.7578206956476214
Original Hummus,Banana,0.007035,0.25192479856759176,1.3590009363052824
Red Peppers,Banana,0.006295,0.28292134831460675,1.5262109147112972
Seedless Red Grapes,Organic Strawberries,0.00534,0.17156626506024097,1.6529338124210315
Seedless Red Grapes,Banana,0.00929,0.2984738955823293,1.6101086747529563
Organic Gala Apples,Bag of Organic Bananas,0.005915,0.2343502377179081,1.7440017690635023
100% Whole Wheat Bread,Banana,0.00632,0.2626766417290108,1.4170014388618248
