antecedent,consequent,support,confidence,lift
"Bag of Organic Bananas, Organic Raspberries",Organic Hass Avocado,0.010055716945860224,0.30298277475097685,1.9997458492233153
"Apple Honeycrisp Organic, Bag of Organic Bananas",Organic Hass Avocado,0.005869411752887446,0.3009599625380473,1.9863948911370386
Organic Green Seedless Grapes,Organic Strawberries,0.005148863149646712,0.33978183571385523,1.8992091510841373
"Bag of Organic Bananas, Organic Blueberries",Organic Strawberries,0.00546758490190402,0.3241472658364916,1.8118197880772244
Pineapple Chunks,Organic Baby Spinach,0.005216443120039379,0.30601092896174864,1.8082807775449303
"Organic Cucumber, Organic Hass Avocado",Bag of Organic Bananas,0.005928772537691815,0.39568476869628816,1.7893550261735642
"Organic Hass Avocado, Organic Raspberries",Organic Strawberries,0.006934252907993523,0.3151276198381407,1.7614045144543178
Bartlett Pears,Banana,0.010796356891650129,0.4643909337313902,1.7613886117449733
"Organic Hass Avocado, Organic Lemon",Bag of Organic Bananas,0.007006399092601911,0.3876901308807924,1.7532018899163162
"Organic Hass Avocado, Organic Strawberries",Bag of Organic Bananas,0.013255719868237323,0.381121176316135,1.7234959401379017
"Organic Hass Avocado, Organic Zucchini",Bag of Organic Bananas,0.005351603060824713,0.3803712839153577,1.7201047968779746
"Bag of Organic Bananas, Organic Raspberries",Organic Strawberries,0.010165306087037522,0.3062847394199549,1.711977271303202
Gala Apples,Banana,0.005726945869356959,0.4484410755148741,1.7008923863002097
Organic Navel Orange,Bag of Organic Bananas,0.011568047094106935,0.3718261073766402,1.6814620292034097
"Cucumber Kirby, Organic Avocado",Banana,0.005836535010534256,0.438821752265861,1.6644072501943752
Organic Fuji Apple,Banana,0.024869429104501465,0.43560048627551345,1.6521893087603992
"Organic Baby Spinach, Organic Raspberries",Bag of Organic Bananas,0.005636534827885687,0.36520710059171596,1.6515297346197588
Granny Smith Apples,Banana,0.008276719887415422,0.4339685883930282,1.6459996824413745
"Organic Raspberries, Organic Strawberries",Bag of Organic Bananas,0.010165306087037522,0.3634493567556978,1.643580912687422
"Organic Baby Spinach, Organic Hass Avocado",Bag of Organic Bananas,0.010760740420767507,0.36109834206735925,1.6329492172520703
"Organic Hass Avocado, Organic Yellow Onion",Bag of Organic Bananas,0.006207311604850781,0.36088988000424765,1.6320065157131047
Organic Large Extra Fancy Fuji Apple,Bag of Organic Bananas,0.01885024552533838,0.35826361648210503,1.620130097399391
Organic Raspberries,Bag of Organic Bananas,0.03318907140554466,0.34649708249113303,1.5669197936347081
Organic Bosc Pear,Bag of Organic Bananas,0.005593612414257912,0.34354142127993714,1.5535537819447836
Organic Hass Avocado,Bag of Organic Bananas,0.05143201044019218,0.33946137525315845,1.5351031074619363
Honeycrisp Apple,Banana,0.021884951493106385,0.4000467422332771,1.517337494669831
"Organic Garlic, Organic Hass Avocado",Bag of Organic Bananas,0.005105027493175793,0.33425017938292273,1.511537177558937
Organic D'Anjou Pears,Bag of Organic Bananas,0.0126036644782324,0.33422939068100355,1.5114431674498563
"Cucumber Kirby, Organic Baby Spinach",Banana,0.005385393046021047,0.39258371613075027,1.4890309791215546
Strawberries,Banana,0.029901397170225726,0.3875068052169385,1.4697747611015786
Whole Milk,Banana,0.005460278959158867,0.38509596805358753,1.460630695582948
Broccoli Crown,Banana,0.011466677138517935,0.3843751913304353,1.4578968611784513
Organic Milk,Bag of Organic Bananas,0.005501374887100353,0.32027221011218027,1.4483263806088515
100% Raw Coconut Water,Bag of Organic Bananas,0.006873065637502865,0.3193583976915896,1.4441939626410047
Cucumber Kirby,Banana,0.026653905620005133,0.38033308139383354,1.4425655403179332
Apple Honeycrisp Organic,Bag of Organic Bananas,0.0195023009153433,0.31861721174504654,1.4408421914744125
Blueberries,Banana,0.012210970055680417,0.379448322833305,1.4392097391179892
"Organic Avocado, Organic Strawberries",Banana,0.007735166881430942,0.37743416068802643,1.431570222479722
Organic Kiwi,Bag of Organic Bananas,0.012069417414993074,0.3151694369589584,1.4252507570026534
Organic Bartlett Pear,Bag of Organic Bananas,0.009033798204381922,0.31372300275918935,1.418709731140289
"Clementines, Bag",Banana,0.008644756753202514,0.37144875215821693,1.4088681633840858
Hass Avocados,Bag of Organic Bananas,0.0067625632534824235,0.3110560362933715,1.4066492470686607
Frozen Organic Wild Blueberries,Bag of Organic Bananas,0.006894983465738325,0.30752311514805913,1.3906727660196978
Vanilla Almond Breeze Almond Milk,Banana,0.006189959990831041,0.3633147512864494,1.3780167072879552
"Organic Avocado, Organic Baby Spinach",Banana,0.009525122853993474,0.36153766161738704,1.371276382966838
Unsweetened Original Almond Breeze Almond Milk,Banana,0.006881284823091163,0.36016442808661153,1.3660678448006442
Organic Cucumber,Bag of Organic Bananas,0.018516911887590765,0.30134502489410714,1.3627343723218899
Seedless Red Grapes,Banana,0.019030154365437778,0.3588736760526996,1.361172150746388
Organic Whole Strawberries,Bag of Organic Bananas,0.0070292301636805145,0.300534926398813,1.359070966679499
Organic Reduced Fat Milk,Banana,0.008490418712711154,0.35811409421825047,1.358291132415266
"Large Lemon, Organic Avocado",Banana,0.007417358372016778,0.3579550462758925,1.3576878793927751
Total 0% Greek Yogurt,Banana,0.005861192567299148,0.3556861006428729,1.3490819943326229
Red Raspberries,Banana,0.006473065272205728,0.3543822808859557,1.3441367357050493
Organic Avocado,Banana,0.04335163776405275,0.35191376741220687,1.334773909679003
Roma Tomato,Banana,0.008308683386925468,0.3518174787316319,1.3344086962928545
Total 2% All Natural Greek Strained Yogurt with Honey,Banana,0.0053452103609227045,0.3503112281541777,1.3286956377017995
No Salt Added Black Beans,Banana,0.007521468056135211,0.3493531283138918,1.3250616603240881
Honey Nut Cheerios,Banana,0.005101374521803217,0.3477124183006536,1.3188386104697916
Small Hass Avocado,Banana,0.011479462538321952,0.34677775325535204,1.3152935189380466
Boneless Skinless Chicken Breasts,Banana,0.012013709601561279,0.343921568627451,1.3044602947917374
Green Beans,Banana,0.006936079393679811,0.3414864439548581,1.295224109166793
"Limes, Organic Avocado",Banana,0.0064027455732836285,0.3397460748207017,1.2886230621814343
Yellow Onions,Banana,0.017257550006894985,0.3394650331435141,1.2875570990592726
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Banana,0.007280371945545156,0.33945071322120507,1.2875027850185707
Red Vine Tomato,Banana,0.012532431536467157,0.33533709649830173,1.2719002460314583
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Banana,0.005076716965038325,0.3352228185491166,1.2714668011391326
Total 0% Nonfat Greek Yogurt,Banana,0.00554247081504184,0.33129537638517387,1.256570403732595
Russet Potato,Banana,0.006109594620634357,0.32510448051316937,1.2330889515909067
Grape White/Green Seedless,Banana,0.008994528762126723,0.32273814595143685,1.2241136800128765
"Large Lemon, Organic Baby Spinach",Banana,0.006344298031322403,0.3226061112659051,1.2236128855861157
Red Onion,Banana,0.008841103964478507,0.315496170767476,1.1966455886074863
Organic Fat Free Milk,Banana,0.005289502547490911,0.31456036495953943,1.1930961702765555
Large Lemon,Banana,0.0334173821163307,0.3132903535133006,1.1882791432079678
100% Whole Wheat Bread,Banana,0.010633799665570471,0.3125654309720023,1.1855295841276894
Green Onions,Banana,0.005042013736998846,0.31077962285392624,1.1787561915968174
Organic Peeled Whole Baby Carrots,Banana,0.012042020129698749,0.3078826935649575,1.167768427004558
Red Peppers,Banana,0.012589965835585238,0.30508099495441265,1.1571418629015435
"Large Lemon, Limes",Banana,0.006745211639462684,0.3000975134080936,1.1382400131776538
